# Mapping of PE-styled names to Desktop-styled names
# format: pe_name,desktop_name
## Blocks

# These are done by hand (less confusion)
grass_2,grass_top
grass_3,grass_side
grass_4,grass_side
grass_5,grass_side
grass_6,grass_side
grass_7,grass_side
grass_8,grass_side
grass_9,grass_side
grass_10,grass_side
grass_11,grass_side
grass_12,grass_side
grass_13,grass_side
grass_14,grass_side
grass_15,grass_side
grass_16,grass_side
grass_17,grass_side
grass_18,grass_side

leaves,leaves_oak
leaves_1,leaves_spruce
leaves_2,leaves_birch
leaves_3,leaves_jungle
leaves_4,leaves_oak
leaves_5,leaves_spruce
leaves_6,leaves_birch
leaves_7,leaves_jungle
leaves2,leaves_acacia
leaves2_1,leaves_dark_oak

leaves_opaque,leaves_oak_opaque
leaves_opaque_1,leaves_spruce_opaque
leaves_opaque_2,leaves_birch_opaque
leaves_opaque_3,leaves_jungle_opaque
leaves_opaque2,leaves_acacia_opaque
leaves_opaque2_1,leaves_dark_oak_opaque


# These are machine generated (which means there will be mistakes)
anvil_top_damaged,anvil_top_damaged_0
bed,bed_feet_top
bed_1,bed_feet_end
bed_2,bed_feet_side
bed_3,bed_head_top
bed_4,bed_head_end
bed_5,bed_head_side
beetroot,beetroots_stage_0
beetroot_1,beetroots_stage_1
beetroot_2,beetroots_stage_2
beetroot_3,beetroots_stage_3
cactus,cactus_top
cactus_1,cactus_side
cactus_2,cactus_bottom
carrots,beetroots_stage_0
carrots_1,beetroots_stage_1
carrots_2,beetroots_stage_2
carrots_3,carrots_stage_3
cocoa,cocoa_stage_0
cocoa_1,cocoa_stage_1
cocoa_2,cocoa_stage_2
crafting_table,crafting_table_top
crafting_table_1,crafting_table_side
crafting_table_2,crafting_table_front
destroy,destroy_stage_0
destroy_1,destroy_stage_1
destroy_2,destroy_stage_2
destroy_3,destroy_stage_3
destroy_4,destroy_stage_4
destroy_5,destroy_stage_5
destroy_6,destroy_stage_6
destroy_7,destroy_stage_7
destroy_8,destroy_stage_8
destroy_9,destroy_stage_9
dirt_1,dirt_podzol_top
dirt_2,dirt_podzol_side
door,door_wood_lower
door_1,door_wood_upper
door_2,door_spruce_lower
door_3,door_spruce_upper
door_12,door_iron_lower
door_13,door_iron_upper
double_plant_bottom,double_plant_sunflower_bottom
double_plant_bottom_1,double_plant_syringa_bottom
double_plant_bottom_4,double_plant_rose_bottom
double_plant_bottom_5,double_plant_paeonia_bottom
double_plant_top,double_plant_sunflower_top
double_plant_top_1,double_plant_syringa_top
double_plant_top_4,double_plant_rose_top
endframee,endframe_eye
endframee_1,endframe_side
endframee_2,endframe_top
farmland,farmland_wet
farmland_1,farmland_dry
flower1,flower_dandelion
flower2,flower_rose
flower2_1,flower_blue_orchid
flower2_2,flower_allium
flower2_3,flower_houstonia
flower2_4,flower_tulip_red
flower2_5,flower_tulip_orange
flower2_6,flower_tulip_white
flower2_7,flower_tulip_pink
flower2_8,flower_oxeye_daisy
furnace,furnace_front_off
furnace_1,furnace_front_on
furnace_2,furnace_side
furnace_3,furnace_top
grass,grass_top
grass_1,grass_side_snowed
grass_path,grass_path_top
grass_path_1,grass_path_side
hayblock,hay_block_top
hayblock_1,hay_block_side
leaves2,leaves_acacia
leaves2_1,leaves_acacia
leaves,leaves_acacia
leaves_3,leaves_jungle
log2,log_acacia
log2_1,log_acacia_top
log2_2,log_big_oak
log2_3,log_big_oak_top
log,log_oak
log_1,log_oak_top
log_2,log_spruce
log_3,log_spruce_top
log_4,log_birch
log_5,log_birch_top
log_6,log_jungle
log_7,log_jungle_top
melon,melon_side
melon_1,melon_top
melon_stem,melon_stem_disconnected
melon_stem_1,melon_stem_connected
mushroom_block,mushroom_block_skin_brown
mushroom_block_1,mushroom_block_skin_red
mushroom_block_2,mushroom_block_inside
mushroom_block_3,mushroom_block_skin_stem
mycelium,mycelium_side
mycelium_1,mycelium_top
nether_wart,nether_wart_stage_0
nether_wart_1,nether_wart_stage_1
nether_wart_2,nether_wart_stage_2
planks,planks_oak
planks_1,planks_spruce
planks_2,planks_birch
planks_3,planks_jungle
planks_4,planks_acacia
planks_5,planks_big_oak
potatoes,beetroots_stage_0
potatoes_1,beetroots_stage_1
potatoes_2,beetroots_stage_2
potatoes_3,potatoes_stage_3
pumpkin,pumpkin_top
pumpkin_1,pumpkin_side
