## Items

# These are machine generated (which means there will be mistakes)
axe,wood_axe
axe_1,stone_axe
axe_2,iron_axe
axe_3,gold_axe
axe_4,diamond_axe
boat,oak_boat
boat_1,spruce_boat
boat_2,birch_boat
boat_3,jungle_boat
boat_4,acacia_boat
boat_5,dark_oak_boat
boots_1,chainmail_boots
boots_2,iron_boots
boots_3,gold_boots
boots_4,diamond_boots
bucket,bucket_empty
bucket_1,bucket_milk
bucket_2,bucket_water
bucket_3,bucket_lava
chestplate,leather_chestplate
chestplate_1,chainmail_chestplate
chestplate_2,iron_chestplate
chestplate_3,gold_chestplate
chestplate_4,diamond_chestplate
clock_item,clock_00
compass_item,compass_19
door_darkoak,door_dark_oak
dye_powder,dye_powder_black
dye_powder_1,dye_powder_red
dye_powder_2,dye_powder_green
dye_powder_3,dye_powder_brown
dye_powder_4,dye_powder_blue
dye_powder_5,dye_powder_purple
dye_powder_6,dye_powder_cyan
dye_powder_7,dye_powder_silver
dye_powder_8,dye_powder_gray
dye_powder_9,dye_powder_pink
dye_powder_10,dye_powder_lime
dye_powder_11,dye_powder_yellow
dye_powder_12,dye_powder_light_blue
dye_powder_13,dye_powder_magenta
dye_powder_14,dye_powder_orange
dye_powder_15,dye_powder_white
fishing_rod,fishing_rod_uncast
fishing_rod_1,fishing_rod_cast
fish_cooked_cod,fish_cod_cooked
fish_cooked_salmon,fish_salmon_cooked
fish_raw_clown_fish,fish_clownfish_raw
fish_raw_cod,fish_cod_raw
fish_raw_salmon,fish_salmon_raw
helmet_1,chainmail_helmet
helmet_2,iron_helmet
helmet_3,gold_helmet
helmet_4,diamond_helmet
hoe,wood_hoe
hoe_1,stone_hoe
hoe_2,iron_hoe
hoe_3,gold_hoe
hoe_4,diamond_hoe
leggings_1,chainmail_leggings
leggings_2,iron_leggings
leggings_3,gold_leggings
leggings_4,diamond_leggings
pickaxe,wood_pickaxe
pickaxe_1,stone_pickaxe
pickaxe_2,iron_pickaxe
pickaxe_3,gold_pickaxe
pickaxe_4,diamond_pickaxe
rabbit,rabbit_raw
seeds_beetroot,beetroot_seeds
shovel,wood_shovel
shovel_1,stone_shovel
shovel_2,iron_shovel
shovel_3,gold_shovel
shovel_4,diamond_shovel
sword,wood_sword
sword_1,stone_sword
sword_2,iron_sword
sword_3,gold_sword
sword_4,diamond_sword
